hora,e_core,e_ram,cpu,mem_used
05:11:06.356223742,0.08,0.29,0,2046736
05:11:07.705210365,0.23,0.29,0,2046240
05:11:09.050052800,0.38,0.32,1,2042544
05:11:10.376826686,0.40,0.32,0,2038600
05:11:11.697116240,0.50,0.31,1,2034576
05:11:13.023162190,0.44,0.31,1,2030660
05:11:14.349824943,0.28,0.30,1,2024196
05:11:15.667922246,0.38,0.32,1,2020860
05:11:16.993356791,0.84,0.31,1,2017052
05:11:18.312346941,0.29,0.29,0,2014956
05:11:19.632760740,0.30,0.31,0,2013004
05:11:20.960290916,0.17,0.30,0,2012152
05:11:22.293469021,0.08,0.29,0,2012616
05:11:23.646296572,0.10,0.30,0,2011240
05:11:25.002449659,0.13,0.29,0,2007944
05:11:26.351064259,0.07,0.29,0,2008112
05:11:27.707500403,0.12,0.29,0,2008616
05:11:29.056107366,0.11,0.29,0,2007960
05:11:30.398055018,0.09,0.29,1,2007736
05:11:31.750200984,0.24,0.32,1,2006544
05:11:33.104970045,0.12,0.33,2,2005248
05:11:34.452651692,0.17,0.32,3,2002148
05:11:35.792470963,0.27,0.33,2,2000704
05:11:37.150238595,0.16,0.33,1,1999996
05:11:38.496151523,0.17,0.33,3,1999240
05:11:39.837413147,0.22,0.29,1,1998680
05:11:41.189658126,0.16,0.29,0,1998340
05:11:42.540493356,0.08,0.29,0,1997652
05:11:43.895401297,0.11,0.29,0,1998072
05:11:45.245810745,0.09,0.30,1,1995824
05:11:46.599921758,0.08,0.29,0,1995800
05:11:47.955395277,0.07,0.29,0,1995616
05:11:49.308445093,0.08,0.29,0,1995740
05:11:50.659545980,0.07,0.29,0,1994948
05:11:52.011296781,0.15,0.29,2,1994220
05:11:53.355842398,0.18,0.33,2,1992492
05:11:54.700461761,0.22,0.32,3,1988964
05:11:56.044165829,0.29,0.30,1,1987452
05:11:57.389982522,0.18,0.34,1,1986312
05:11:58.739763884,0.19,0.32,1,1984948
05:12:00.090227888,0.13,0.30,2,1983740
05:12:01.451640755,0.11,0.31,0,1982304
05:12:02.802769410,0.12,0.30,0,1981740
05:12:04.149109073,0.11,0.29,0,1980900
05:12:05.501339883,0.10,0.29,0,1979304
05:12:06.864207535,0.09,0.30,0,1979080
05:12:08.214046209,0.10,0.29,0,1979708
05:12:09.562917132,0.08,0.29,0,1979212
05:12:10.911235973,0.10,0.29,0,1979244
05:12:12.264972715,0.12,0.29,0,1979248
05:12:13.609900501,0.22,0.31,1,1977016
05:12:14.936205595,0.45,0.31,1,1969408
05:12:16.269966289,0.32,0.31,0,1965884
05:12:17.587845282,0.45,0.31,3,1951244
05:12:18.911563018,0.40,0.31,1,1950792
05:12:20.236685607,0.51,0.30,1,1950576
05:12:21.552340411,0.76,0.31,1,1950168
05:12:22.865109399,0.36,0.31,1,1950120
05:12:24.194724703,0.15,0.30,0,1948780
05:12:25.544026807,0.11,0.29,0,1947980
05:12:26.901918615,0.07,0.29,0,1948120
05:12:28.253845458,0.10,0.29,0,1948040
05:12:29.609994918,0.09,0.30,0,1948192
05:12:30.967317309,0.11,0.29,0,1948060
05:12:32.317921051,0.09,0.29,0,1948260
05:12:33.671380198,0.12,0.30,0,1947604
05:12:35.015520199,0.11,0.30,0,1946344
05:12:36.368617368,0.12,0.29,0,1946200
05:12:37.718917129,0.31,0.30,0,1946336
05:12:39.059811136,0.12,0.29,0,1946200
05:12:40.409543244,0.11,0.29,0,1946084
05:12:41.769878010,0.13,0.30,0,1945128
05:12:43.121229307,0.09,0.30,0,1945128
05:12:44.477921958,0.06,0.29,0,1944012
05:12:45.822527524,0.10,0.30,0,1943816
05:12:47.179741874,0.07,0.29,1,1943660
05:12:48.516663636,0.09,0.29,0,1943808
05:12:49.871490621,0.15,0.30,0,1943180
05:12:51.227617063,0.06,0.29,0,1943624
05:12:52.578715355,0.07,0.29,1,1943492
05:12:53.931391181,0.07,0.30,0,1943328
05:12:55.283339949,0.06,0.29,0,1941268
05:12:56.630719124,0.10,0.29,0,1941556
05:12:57.976948580,2.24,0.34,34,1853048
