horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:38:38.511429305,0.25,241297,7494059,5706725,603856,27152120,12326242,104387,1.842,5665722,1501867,2.59
12:38:40.970359169,0.25,210724,8450886,5731318,615013,29784478,12651893,111106,1.928,5762351,1521464,7.25
12:38:43.398015267,0.25,109111,5757465,5746324,637638,25797660,11330360,91452,1.741,5252331,1375866,4.10
12:38:45.746630242,0.25,114745,5875043,5623524,584101,29391244,12258527,108426,1.909,5680025,1484755,7.09
12:38:48.161253623,0.25,106278,5876854,5831980,639921,28785752,12252660,103806,1.835,5657198,1480471,7.20
12:38:50.537700626,0.25,102960,5493069,5922049,667594,29188249,12308911,110966,1.922,5774835,1490375,6.89
12:38:52.926027300,0.25,111602,5705104,5476368,544299,28879877,12109353,107177,1.931,5550365,1462521,7.12
12:38:55.303422458,0.25,93936,5531821,5984146,666278,302631587,101018058,1986065,3.920,50661054,10126925,0.53
12:38:58.034412131,0.25,92713,5645402,5536660,563975,52891572,17119901,261363,3.221,8114086,2041021,7.70
12:39:00.433397464,0.25,122250,6230088,8408163,1160019,44960836,17430931,195978,2.486,7884623,2074780,6.44
12:39:02.799126352,0.25,323565,10758229,5527778,591784,34478511,14039481,133281,2.055,6486826,1711319,8.04
12:39:05.127851939,0.25,94180,5323903,5610517,604548,31260729,12798484,120320,2.001,6011639,1532830,6.71
12:39:07.641999044,0.25,115832,5942376,5740494,616254,27678483,12147732,104750,1.841,5690639,1468545,7.24
12:39:10.068278896,0.25,317631,14243816,5799096,614782,46812216,17100897,242431,3.032,7996734,2059331,7.22
12:39:12.436172125,0.25,104807,5655647,7720454,1076632,29147372,12599649,107673,1.837,5862524,1528633,6.64
12:39:14.736951336,0.25,111129,6036601,5565440,568823,32260536,13431075,121238,1.935,6266122,1622369,1.13
